Rank,Movie Title,Cast,Release Year,IMDb Rating,Total Votes
205,Barry Lyndon,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",1975,8.1,"142,571"
206,Network,"Sidney Lumet (dir.), Faye Dunaway, William Holden",1976,8.1,"139,672"
207,Stand by Me,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",1986,8.1,"350,665"
208,Le salaire de la peur,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",1953,8.1,"51,858"
209,Into the Wild,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",2007,8.1,"552,154"
210,Million Dollar Baby,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",2004,8.1,"615,634"
211,Hachi: A Dog's Tale,"Lasse Hallström (dir.), Richard Gere, Joan Allen",2009,8.1,"241,586"
212,Life of Brian,"Terry Jones (dir.), Graham Chapman, John Cleese",1979,8.1,"354,723"
213,Ben-Hur,"William Wyler (dir.), Charlton Heston, Jack Hawkins",1959,8.1,"212,280"
214,Platoon,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",1986,8.1,"369,270"
215,Rush,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",2013,8.1,"416,974"
216,Dead Poets Society,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",1989,8.0,"403,496"
217,Logan,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",2017,8.0,"616,359"
218,Harry Potter and the Deathly Hallows: Part 2,"David Yates (dir.), Daniel Radcliffe, Emma Watson",2011,8.0,"733,257"
219,La passion de Jeanne d'Arc,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",1928,8.0,"44,686"
220,Andrei Rublev,"Andrei Tarkovsky (dir.), Anatoliy Solonitsyn, Ivan Lapikov",1966,8.0,"43,553"
221,Les quatre cents coups,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",1959,8.0,"99,793"
222,Hotel Rwanda,"Terry George (dir.), Don Cheadle, Sophie Okonedo",2004,8.0,"326,153"
223,Amores perros,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",2000,8.0,"216,702"
224,Ah-ga-ssi,"Chan-wook Park (dir.), Min-hee Kim, Jung-woo Ha",2016,8.0,"99,511"
225,Spotlight,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",2015,8.0,"398,678"
226,Rang De Basanti,"Rakeysh Omprakash Mehra (dir.), Aamir Khan, Soha Ali Khan",2006,8.0,"106,890"
227,Kaze no tani no Naushika,"Hayao Miyazaki (dir.), Sumi Shimamoto, Mahito Tsujimura",1984,8.0,"141,008"
228,Rocky,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",1976,8.0,"500,112"
229,Rebecca,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",1940,8.0,"117,435"
230,"Monsters, Inc.","Pete Docter (dir.), Billy Crystal, John Goodman",2001,8.0,"785,916"
231,La haine,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",1995,8.0,"141,065"
232,Portrait de la jeune fille en feu,"Céline Sciamma (dir.), Noémie Merlant, Adèle Haenel",2019,8.0,"38,808"
233,It Happened One Night,"Frank Capra (dir.), Clark Gable, Claudette Colbert",1934,8.0,"89,848"
234,Gangs of Wasseypur,"Anurag Kashyap (dir.), Manoj Bajpayee, Richa Chadha",2012,8.0,"75,717"
235,Faa yeung nin wa,"Kar-Wai Wong (dir.), Tony Chiu-Wai Leung, Maggie Cheung",2000,8.0,"116,383"
236,Before Sunset,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",2004,8.0,"224,254"
237,"Paris, Texas","Wim Wenders (dir.), Harry Dean Stanton, Nastassja Kinski",1984,8.0,"83,642"
238,The Help,"Tate Taylor (dir.), Emma Stone, Viola Davis",2011,8.0,"411,868"
239,The Princess Bride,"Rob Reiner (dir.), Cary Elwes, Mandy Patinkin",1987,8.0,"379,675"
240,Contratiempo,"Oriol Paulo (dir.), Mario Casas, Ana Wagener",2016,8.0,"118,760"
241,Drishyam,"Nishikant Kamat (dir.), Ajay Devgn, Shriya Saran",2015,8.0,"63,183"
242,The Terminator,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",1984,8.0,"775,202"
243,Kis Uykusu,"Nuri Bilge Ceylan (dir.), Haluk Bilginer, Melisa Sözen",2014,8.0,"42,679"
244,Butch Cassidy and the Sundance Kid,"George Roy Hill (dir.), Paul Newman, Robert Redford",1969,8.0,"197,351"
245,Ace in the Hole,"Billy Wilder (dir.), Kirk Douglas, Jan Sterling",1951,8.0,"29,675"
246,Mandariinid,"Zaza Urushadze (dir.), Lembit Ulfsak, Elmo Nüganen",2013,8.0,"36,349"
247,Aladdin,"Ron Clements (dir.), Scott Weinger, Robin Williams",1992,8.0,"357,877"
248,Fanny och Alexander,"Ingmar Bergman (dir.), Bertil Guve, Pernilla Allwin",1982,8.0,"55,124"
249,Kumonosu-jô,"Akira Kurosawa (dir.), Toshirô Mifune, Minoru Chiaki",1957,8.0,"43,440"
